,movie,year,imdb,metascores,votes
326,The Batman,2022,7.8,72,779K
327,Top Gun: Maverick,2022,8.2,78,686K
328,Everything Everywhere All at Once,2022,7.8,81,527K
329,Avatar: The Way of Water,2022,7.6,67,489K
330,Doctor Strange in the Multiverse of Madness,2022,6.9,60,474K
331,Glass Onion: A Knives Out Mystery,2022,7.1,81,437K
332,Bullet Train,2022,7.3,49,420K
333,Thor: Love and Thunder,2022,6.2,57,398K
334, The Menu,2022,7.2,71,387K
335, Black Panther 2: Wakanda Forever,2022,6.7,67,303K
336, Black Adam,2022,6.2,41,272K
337, Nope,2022,6.8,77,262K
338, Uncharted,2022,6.3,45,256K
339, The Northman,2022,7.0,82,251K
340, The Banshees of Inisherin,2022,7.7,87,250K
341, All Quiet on the Western Front,2022,7.8,76,243K
342, The Gray Man,2022,6.5,49,236K
343, Elvis,2022,7.3,64,232K
344, The Adam Project,2022,6.7,55,230K
345, Prey,2022,7.1,71,225K
346, The Whale,2022,7.7,60,208K
347, Jurassic World Dominion,2022,5.6,38,203K
348, Death on the Nile,2022,6.3,52,187K
349, Laal Singh Chaddha,2022,5.6,46,178K
350, Barbarian,2022,7.0,78,178K
351, Triangle of Sadness,2022,7.3,63,176K
352, Puss in Boots: The Last Wish,2022,7.8,73,172K
353, X,2022,6.5,80,170K
354, Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,169K
355, RRR,2022,7.8,83,166K
356, Babylon,2022,7.1,61,165K
357, Scream,2022,6.3,60,158K
358, The Lost City,2022,6.1,60,157K
359, Smile,2022,6.5,68,156K
360, A Man Called Otto,2022,7.5,51,156K
361, Morbius,2022,5.1,35,152K
362, Turning Red,2022,7.0,83,151K
363,Oppenheimer,2023,8.3,90,691K
364,Barbie,2023,6.9,80,519K
365,Guardians of the Galaxy Volume 3,2023,7.9,64,376K
366,Spider-Man: Across the Spider-Verse,2023,8.6,86,359K
367,John Wick: Chapter 4,2023,7.7,78,329K
368,Mission: Impossible - Dead Reckoning Part One,2023,7.7,81,241K
369,The Super Mario Bros. Movie,2023,7.0,46,233K
370,Killers of the Flower Moon,2023,7.6,89,227K
371, Ant-Man and the Wasp: Quantumania,2023,6.1,48,225K
372, Dungeons & Dragons: Honor Among Thieves,2023,7.2,72,222K
373, The Flash,2023,6.7,55,207K
374, Poor Things,2023,8.0,88,200K
375, Indiana Jones and the Dial of Destiny,2023,6.5,58,195K
376, Saltburn,2023,7.0,61,194K
377, Leave the World Behind,2023,6.5,68,190K
378, The Killer,2023,6.7,73,178K
379, Air,2023,7.4,73,165K
380, The Covenant,2023,7.5,63,159K
381, Pathaan,2023,5.8,47,156K
382, No Hard Feelings,2023,6.4,59,155K
383, The Little Mermaid,2023,7.2,59,154K
384, The Creator,2023,6.8,63,154K
385, Extraction II,2023,7.0,57,145K
386, Evil Dead Rise,2023,6.5,69,135K
